Abbreviation	Orthography	WorldBet	Target1	Target2	Frame2	ComparisonPair	Block	AAEsoundFile	Abbreviation120
cracker	cracker	kraek6r	k	r	aek6r	kraesem	block3	cracker2_A	cracker2
Queen	queen	kwin	k	w	in		block2	queen_A	queen
Quiet	quiet	kwaI6t	k	w	aI6t	kwalaid	block1	quiet_A	quiet
quiet	quiet	kwaI6t	k	w	aI6t	kwameg	block3	quiet2_A	quiet2
Train	train	tren	t	r	en		block2	train_A	train
Trash	trash	traeS	t	r	aeS		block2	trash_A	trash
Rainbow	rainbow	renbo	r	e	nbo	regip	block2	rainbow_A	rainbow
Crawl	crawl	cral	k	r	al		block2	crawl_A	crawl
Crying	crying	kraIIN	k	r	aIIN	kradaek	block1	crying_A	crying
crying	crying	kraIIN	k	r	aIIN	kramel	block3	crying2_A	crying2
Shadow	shadow	Saedo	S	ae	do		block1	shadow_A	shadow
shadow	shadow	Saedo	S	ae	do		block3	shadow2_A	shadow2
Cereal	cereal	sIri6l	s	I	ri6l		block2	cereal_A	cereal
Roll	roll	rol	r	o	l		block2	roll_A	roll
Room	room	rum	r	u	m		block2	room_A	room
Seven	seven	sEvIn	s	E	vIn		block2	seven_A	seven
Sugar	sugar	SUg6r	S	U	g6r		block2	sugar_A	sugar
Summer	summer	sVm6r	s	V	m6r	subbith	block1	summer_A	summer
summer	summer	sVm6r	s	V	m6r		block3	summer2_A	summer2
Teacher	teacher	titS6r	t	i	tS6r		block2	teacher_A	teacher
Towel	towel	taU6l	t	aU	6l		block2	towel_A	towel
Trouble	trouble	trVb6l	t	r	Vb6l	truhglap	block1	trouble_A	trouble
trouble	trouble	trVb6l	t	r	Vb6l	truhtok	block3	trouble2_A	trouble2
Truck	truck	trVk	t	r	Vk		block2	truck_A	truck
Twelve	twelve	twElv	t	w	Elv		block2	twelve_A	twelve
Twenty	twenty	twEnti	t	w	Enti	twefrap	block1	twenty2_A	twenty
Twenty	twenty	twEnti	t	w	Enti	twemag	block3	twenty_A	twenty
Twenty	twenty	twEnti	t	w	Enti	twefrap	block2		
Washcloth	washcloth	waSklaT	w	a	SklaT		block2	washcloth_A	washcloth
Wolf	wolf	wUlf	w	U	lf		block2	wolf_A	wolf
Wood	wood	wUd	w	U	d		block2	wood_A	wood
Kitten	kitten	kIt6n	k	I	t6n		block2	kitten_A	kitten
COMB	comb	kom	k	o	m		block2	COMB_A_01_TP2	comb
Cousin	cousin	kVzIn	k	V	zIn		block2	cousin_A	cousin
KEYS	keys	kiz	k	i	z		block2	keys_A	keys
Sharing	sharing	SerIN	S	er	IN	shayvoss	block2	sharing_A	sharing
TIGR	tiger	taIg6r	t	aI	g6r		block2	TIGR_A_01_TP2	tiger
