Abbreviation	Orthography	WorldBet	Target1	Target2	Frame2	ComparisonPair	Block	AAEsoundFile	Abbreviation120
WTNG	waiting	wetIN	w	e	tIN		block2	WTNG_A_03_TP2	Waiting
Woman	woman	wUm6n	w	U	m6n		block1	woman_A	Woman
woman	woman	wUm6n	w	U	m6n		block3	woman2_A	Woman
Wagon	wagon	waeg6n	w	ae	g6n		block1	wagon_A	Wagon
wagon	wagon	waeg6n	w	ae	g6n		block3	wagon2_A	Wagon
Cracker	cracker	kraek6r	k	r	aek6r	kraenap	block1	cracker_A	Cracker
cracker	cracker	kraek6r	k	r	aek6r	kraesem	block3	cracker2_A	Cracker
Queen	queen	kwin	k	w	in		block1	queen_A	Queen
Queen	queen	kwin	k	w	in		block3	queen_A	Queen
Quiet	quiet	kwaI6t	k	w	aI6t	kwalaid	block1	quiet_A	Quiet
quiet	quiet	kwaI6t	k	w	aI6t	kwameg	block3	quiet2_A	Quiet
Train	train	tren	t	r	en		block1	train_A	Train
Train	train	tren	t	r	en		block3	train_A	Train
Trash	trash	traeS	t	r	aeS		block1	trash_A	Trash
Trash	trash	traeS	t	r	aeS		block3	trash_A	Trash
Rainbow	rainbow	renbo	r	e	nbo	regip	block1	rainbow_A	Rainbow
Rainbow	rainbow	renbo	r	e	nbo	regip	block3	rainbow_A	Rainbow
Crawl	crawl	cral	k	r	al		block2	crawl_A	Crawl
Crying	crying	kraIIN	k	r	aIIN	kradaek	block2	crying_A	Crying
crying	crying	kraIIN	k	r	aIIN	kramel	block3	crying2_A	
Shadow	shadow	Saedo	S	ae	do		block1	shadow_A	Shadow
shadow	shadow	Saedo	S	ae	do		block3	shadow2_A	Shadow
Cereal	cereal	sIri6l	s	I	ri6l		block2	cereal_A	Cereal
Roll	roll	rol	r	o	l		block2	roll_A	Roll
Room	room	rum	r	u	m		block2	room_A	Room
Seven	seven	sEvIn	s	E	vIn		block2	seven_A	Seven
Sugar	sugar	SUg6r	S	U	g6r		block2	sugar_A	Sugar
Summer	summer	sVm6r	s	V	m6r	subbith	block2	summer_A	Summer
summer	summer	sVm6r	s	V	m6r		block3	summer2_A	
Teacher	teacher	titS6r	t	i	tS6r		block2	teacher_A	Teacher
Towel	towel	taU6l	t	aU	6l		block2	towel_A	Towel
Trouble	trouble	trVb6l	t	r	Vb6l	truhglap	block2	trouble_A	Trouble
trouble	trouble	trVb6l	t	r	Vb6l	truhtok	block3	trouble2_A	
Truck	truck	trVk	t	r	Vk		block2	truck_A	Truck
Twelve	twelve	twElv	t	w	Elv		block2	twelve_A	Twelve
Twenty	twenty	twEnti	t	w	Enti	twefrap	block2	twenty2_A	Twenty
Twenty	twenty	twEnti	t	w	Enti	twemag	block3	twenty_A	
Twenty	twenty	twEnti	t	w	Enti	twefrap	block2		
Washcloth	washcloth	waSklaT	w	a	SklaT		block2	washcloth_A	Washcloth
Wolf	wolf	wUlf	w	U	lf		block2	wolf_A	Wolf
Wood	wood	wUd	w	U	d		block2	wood_A	Wood
Kitten	kitten	kIt6n	k	I	t6n		block2	kitten_A	Kitten
COMB	comb	kom	k	o	m		block2	COMB_A_01_TP2	
Cousin	cousin	kVzIn	k	V	zIn		block2	cousin_A	Cousin
KEYS	keys	kiz	k	i	z		block2	keys_A	
Sharing	sharing	SerIN	S	er	IN	shayvoss	block2	sharing_A	
TIGR	tiger	taIg6r	t	aI	g6r		block2	TIGR_A_01_TP2	Toast
SADD	sad	saed	s	ae	d		block2		Sad
TLPH	telephone	tEl6fon	t	E	l6fon		block2		Telephone
