OrigOrder	Orthography	WorldBet	Frame1	Target1	Target2	Frame2	TP3_AudioFileAAE	TP3_AudioFileSAE	TargetStructure	Frequency	ComparisonPair	TP2_AudioFileAAE	TP2_AudioFileSAE	LexFreq
39	pwenuhtep	pwEn6tEp		p	w	En6tEp	pwEn6tEp_A.wav	pwEn6tEp.wav	CC	low	CC6	pwEn6tEp_01_A.wav	pwEn6tEp_01_mono.wav	
68	raenol	raenol		r	ae	nol	raenol_A.wav	raenol.wav	CV	nonword	rabbit			
66	raybith	rebIT		r	e	bIT	raybith_A.wav	raybith.wav	CV	nonword	raisins			
70	refim	refim		r	e	fim	reefross_A.wav	refim.wav	CV	nonword	rain			
65	regip	regip		r	e	gip	refim_A.wav	regip.wav	CV	nonword	rainbow			
67	reefross	rifras		r	i	fras	regip_A.wav	reefross.wav	CV	nonword	reading			
69	ruhmaid	rVmaId		r	V	maId	ruhmaid_A.wav	ruhmaid.wav	CV	nonword	running			
62	saiprote	saIprot		s	aI	prot	saiprote_A.wav	saiprote.wav	CV	nonword	sidewalk			
61	shayvoss	Sevas		S	e	vas	shayvoss_A.wav	shayvoss.wav	CV	nonword	sharing			
63	soodross	sudras		s	u	dras	soodross_A.wav	soodross.wav	CV	nonword	suitcase			
64	subbith	sVbIT		s	V	bIT	subbith_A.wav	subbith.wav	CV	nonword	summer			
36	tacktoot	taektut	tae	k	t	ut	taektut_A.wav	taektut.wav	CC	high	CC4	taektut_01_A.wav	taektut_01_mono.wav	
19	taydowm	tedaUm	ted	aU	m		tedaUm_A.wav	tedaUm.wav	VC	low	VC3	tedaUm_01_A.wav	tedaUm_02_mono.wav	
44	teektuhpoe	tikt6po	ti	k	t	6po	tikt6po_A.wav	tikt6po.wav	CC	high	CC8	tikt6po_01_A.wav	tikt6po_01_mono.wav	
49	truhglap	trVglap		t	r	Vglap	truhglap_A.wav	truhglap.wav	CC	nonword	trouble			
50	truhtok	trVtok		t	r	Vtok	truhtok_A.wav	truhtok.wav	CC	nonword	trouble			
59	chimmig	tSImIg		tS	I	mIg	chimmig_A.wav	chimmig.wav	CV	nonword	chicken			
60	chisem	tSIsEm		tS	I	sEm	chisem_A.wav	chisem.wav	CV	nonword	chicken			
24	tugnuhdeet	tVgn6dit	t	V	g	n6dit	tvgn6dit_A.wav	tvgn6dit.wav	VC	high	VC5	tvgn6dit_01_A.wav	tvgn6dit_04_mono.wav	
53	twaiklor	twaIklor		t	w	aIklor	twaiklor_A.wav	twaiklor.wav	CC	nonword2	kwalaid			low
54	twaipon	twaIpon		t	w	aIpon	twaipon_A.wav	twaipon.wav	CC	nonword2	kwameg			low
